Table 33 : GDP and its main expenditure components in chained (2020) dollars,,,,,,,,,,,,,,,,,,
https://www.censtatd.gov.hk/en/web_table.html?id=33#,,,,,,,,,,,,,,,,,,
,,In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1),In chained (2020) dollars (1)
,,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,HK$ million,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change,Year-on-year % change
GDP expenditure component,,GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Changes in inventories,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2),GDP,Private consumption expenditure,Government consumption expenditure,Gross domestic fixed capital formation,Exports of goods (f.o.b.) (2),Exports of services (2),Imports of goods (f.o.b.) (2),Imports of services (2)
Year,Quarter,,,,,,,,,,,,,,,,,
2011,,2419901,1498259,239284,543487,14744,3634348,765399,3716010,571376,4.8,8.4,2.5,10.2,4.6,5.7,6.7,-0.2
2012,,2461047,1559728,247803,580376,-3616,3754481,786242,3886020,584149,1.7,4.1,3.6,6.8,3.3,2.7,4.6,2.2
2013,,2537377,1631787,254505,595256,-1263,4062752,833037,4271480,571721,3.1,4.6,2.7,2.6,8.2,6,9.9,-2.1
2014,,2607470,1686285,262302,594580,8383,4096871,846488,4334469,559376,2.8,3.3,3.1,-0.1,0.8,1.6,1.5,-2.2
2015,,2669732,1766577,271282,575663,-21408,4026157,849320,4218599,587082,2.4,4.8,3.4,-3.2,-1.7,0.3,-2.7,5
2016,,2727810,1801992,280615,575009,470,4088899,819426,4248467,598813,2.2,2,3.4,-0.1,1.6,-3.5,0.7,2
2017,,2831361,1901060,288580,592978,12699,4352693,842044,4557399,611036,3.8,5.5,2.8,3.1,6.5,2.8,7.3,2
2018,,2911968,2001639,300819,602995,12026,4503552,881045,4772667,627959,2.8,5.3,4.2,1.7,3.5,4.6,4.7,2.8
2019,,2863098,1985677,316068,512930,-2700,4258026,796044,4379107,628721,-1.7,-0.8,5.1,-14.9,-5.5,-9.6,-8.2,0.1
2020 r,,2675708,1777537,340931,453867,52008,4198338,518947,4239663,426257,-6.5,-10.5,7.9,-11.5,-1.4,-34.8,-3.2,-32.2
2021 r,,2845431,1872673,356711,498370,9985,4992806,526670,4978184,433600,6.3,5.4,4.6,9.8,18.9,1.5,17.4,1.7
1973,Q1,75733,44919,9058,18617,3042,19987,16331,23200,5719,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1973,Q2,75087,44539,8492,19183,469,21743,15796,24739,5572,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1973,Q3,80172,46294,9649,17390,849,26749,15527,26624,6211,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1973,Q4,77552,51258,10224,17395,-289,25856,15024,28832,5902,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1974,Q1,80396,43175,9738,17734,6709,22297,17367,23038,5908,6.2,-3.9,7.5,-4.7,11.6,6.3,-0.7,3.3
1974,Q2,77023,47220,9275,18096,158,24049,16159,26811,5971,2.6,6,9.2,-5.7,10.6,2.3,8.4,7.2
1974,Q3,83394,46591,10990,18644,2252,23673,14727,23666,5958,4,0.6,13.9,7.2,-11.5,-5.2,-11.1,-4.1
1974,Q4,74856,46687,10847,16918,-1368,20489,12980,21041,4833,-3.5,-8.9,6.1,-2.7,-20.8,-13.6,-27,-18.1
1975,Q1,76747,45185,11159,17734,576,19027,15703,20642,5986,-4.5,4.7,14.6,0,-14.7,-9.6,-10.4,1.3
1975,Q2,78678,45392,10614,17915,535,21741,15531,22923,5638,2.1,-3.9,14.4,-1,-9.6,-3.9,-14.5,-5.6
1975,Q3,83348,47524,10793,18284,2530,25019,15831,25927,6562,-0.1,2,-1.8,-1.9,5.7,7.5,9.6,10.1
1975,Q4,78838,52037,11117,18950,-851,25278,15267,28704,6104,5.3,11.5,2.5,12,23.4,17.6,36.4,26.3
1976,Q1,90130,46101,11568,20266,20030,26334,19321,28484,7065,17.4,2,3.7,14.3,38.4,23,38,18
1976,Q2,88993,51523,11162,20570,1237,29049,18763,31157,7056,13.1,13.5,5.2,14.8,33.6,20.8,35.9,25.1
